,date_start,date_stop,hourly_stats_aggregated_by_advertiser_time_zone,account_id,account_name,account_currency,campaign_id,campaign_name,ad_id,ad_name,adset_id,adset_name,objective,spend,clicks,unique_clicks,unique_ctr,impressions,reach,actions,action_values,outbound_clicks,cpc,cpm,cpp,ctr,frequency,inline_link_click_ctr,inline_link_clicks,inline_post_engagement,mobile_app_purchase_roas,social_clicks,social_impressions,social_reach,total_action_value,total_actions,total_unique_actions,unique_inline_link_click_ctr,unique_link_clicks_ctr,unique_social_clicks
24,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261094806,6088261081006,6088261081006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0.02,0,0,0,1,0,,,,0,20,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
22,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261095006,6088261081006,6088261081006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0.06,0,0,0,2,0,,,,0,30,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
19,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261096406,6088261081006,6088261081006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
8,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261097006,6088261081006,6088261081006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0.08,0,0,0,7,0,,,,0,11.428571,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
27,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261097206,6088261081006,6088261081006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0.05,0,0,0,2,0,,,,0,25,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
5,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261107406,6088261087006,6088261087006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0.01,0,0,0,1,0,,,,0,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
23,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261109006,6088261081006,6088261081006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,12.43,31,0,0,941,0,"[{'action_target_id': '160703111189157', 'action_type': 'app_custom_event.fb_mobile_activate_app', 'value': '31'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event.fb_mobile_complete_registration', 'value': '6'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event.other', 'value': '23'}, {'action_target_id': '157655541008710', 'action_type': 'like', 'value': '2'}, {'action_target_id': '1688107944630121', 'action_type': 'link_click', 'value': '31'}, {'action_target_id': '160703111189157', 'action_type': 'mobile_app_install', 'value': '9'}, {'action_target_id': '157655541008710', 'action_type': 'page_engagement', 'value': '2'}, {'action_target_id': '1688107944630121', 'action_type': 'page_engagement', 'value': '31'}, {'action_target_id': '1688107944630121', 'action_type': 'post_engagement', 'value': '31'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event', 'value': '60'}]","[{'action_target_id': '160703111189157', 'action_type': 'app_custom_event.other', 'value': '41.67'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event', 'value': '41.67'}]","[{'action_target_id': '1688107944630121', 'action_type': 'outbound_click', 'value': '31'}]",0.400968,13.209352,0,3.294368,0,3.294368,31,31,,0,11,0,41.67,102,0,0,0,0
20,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261109206,6088261081006,6088261081006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0.02,0,0,0,1,0,,,,0,20,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
0,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261109406,6088261081006,6088261081006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0.01,0,0,0,1,0,,,,0,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
28,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261118206,6088261087006,6088261087006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0.19,0,0,0,11,0,,,,0,17.272727,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
18,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261118406,6088261087006,6088261087006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0.14,0,0,0,11,0,,,,0,12.727273,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
3,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261125206,6088261087006,6088261087006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0.73,1,0,0,39,0,"[{'action_target_id': '1688107964630119', 'action_type': 'link_click', 'value': '1'}, {'action_target_id': '1688107964630119', 'action_type': 'page_engagement', 'value': '1'}, {'action_target_id': '1688107964630119', 'action_type': 'post_engagement', 'value': '1'}]",,"[{'action_target_id': '1688107964630119', 'action_type': 'outbound_click', 'value': '1'}]",0.73,18.717949,0,2.564103,0,2.564103,1,1,,0,0,0,0,1,0,0,0,0
26,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088261078806,Parent App Android (Reg) USA 2/2018,6088261127206,6088261087006,6088261087006,Parent App Android (Reg) USA 2/2018,APP_INSTALLS,0.01,0,0,0,1,0,,,,0,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
15,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088679327006,Parent App Android (Reg) USA 3/1/2018,6088679347606,6088679343806,6088679343806,Parent App Android (Reg) USA 3/1/2018,APP_INSTALLS,2.16,4,0,0,182,0,"[{'action_target_id': '160703111189157', 'action_type': 'app_custom_event.fb_mobile_activate_app', 'value': '3'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event.fb_mobile_complete_registration', 'value': '2'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event.other', 'value': '1'}, {'action_target_id': '1688107964630119', 'action_type': 'link_click', 'value': '4'}, {'action_target_id': '160703111189157', 'action_type': 'mobile_app_install', 'value': '2'}, {'action_target_id': '1688107964630119', 'action_type': 'page_engagement', 'value': '4'}, {'action_target_id': '1688107964630119', 'action_type': 'post_engagement', 'value': '4'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event', 'value': '6'}]","[{'action_target_id': '160703111189157', 'action_type': 'app_custom_event.other', 'value': '1.35'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event', 'value': '1.35'}]","[{'action_target_id': '1688107964630119', 'action_type': 'outbound_click', 'value': '4'}]",0.54,11.868132,0,2.197802,0,2.197802,4,4,,0,3,0,1.35,12,0,0,0,0
13,2018-02-13,2018-03-15,00:00:00 - 00:59:59,1504283473119276,Active Ad Account,USD,6088679327006,Parent App Android (Reg) USA 3/1/2018,6088679347806,6088679342406,6088679342406,Parent App Android (Reg) USA 3/1/2018,APP_INSTALLS,3.7,5,0,0,249,0,"[{'action_target_id': '160703111189157', 'action_type': 'app_custom_event.fb_mobile_activate_app', 'value': '16'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event.fb_mobile_complete_registration', 'value': '2'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event.other', 'value': '16'}, {'action_target_id': '1688107854630130', 'action_type': 'link_click', 'value': '5'}, {'action_target_id': '160703111189157', 'action_type': 'mobile_app_install', 'value': '2'}, {'action_target_id': '1688107854630130', 'action_type': 'page_engagement', 'value': '5'}, {'action_target_id': '1688107854630130', 'action_type': 'post_engagement', 'value': '5'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event', 'value': '34'}]","[{'action_target_id': '160703111189157', 'action_type': 'app_custom_event.other', 'value': '31.05'}, {'action_target_id': '160703111189157', 'action_type': 'app_custom_event', 'value': '31.05'}]","[{'action_target_id': '1688107854630130', 'action_type': 'outbound_click', 'value': '5'}]",0.74,14.859438,0,2.008032,0,2.008032,5,5,,0,2,0,31.05,41,0,0,0,0
